
F:\code\python\hand_writing\code>python b4++.py
Training...
start: 2019-05-05 12:15:13.637103
Testing...
2316 201 4.9945109486579895 1 0.0|| 2316 1.0
1717 397 4.9908090233802795 25 0.0|| 1661 0.5
3030 1984 4.9846232533454895 10 0.0|| 1367 0.3333333333333333
3569 3569 4.999969959259033 0 0.25|| 3569 0.5
3675 2147 4.883795261383057 136 0.2|| 2549 0.4
2109 1792 4.163586497306824 262 0.16666666666666666|| 1886 0.3333333333333333
3189 3729 4.998314380645752 7 0.14285714285714285|| 3189 0.42857142857142855
2458 2717 4.997166037559509 5 0.125|| 2458 0.5
1465 1465 4.999693989753723 0 0.2222222222222222|| 1465 0.5555555555555556
2998 2998 4.999913334846497 0 0.3|| 2998 0.6
683 814 4.996368944644928 5 0.2727272727272727|| 683 0.6363636363636364
1805 2730 4.982770025730133 15 0.25|| 68 0.5833333333333334
1510 3135 4.998505413532257 2 0.23076923076923078|| 1510 0.6153846153846154
707 707 4.99996554851532 0 0.2857142857142857|| 707 0.6428571428571429
2243 3268 4.999041140079498 1 0.26666666666666666|| 2243 0.6666666666666666
1678 211 4.939776659011841 43 0.25|| 3509 0.625
3599 3599 4.9999576807022095 0 0.29411764705882354|| 3599 0.6470588235294118
419 415 4.982781648635864 33 0.2777777777777778|| 588 0.6111111111111112
2731 1987 4.998046159744263 3 0.2631578947368421|| 2731 0.631578947368421
2265 3256 4.950530290603638 64 0.25|| 3256 0.6
2840 782 4.994990885257721 8 0.23809523809523808|| 2355 0.5714285714285714
24 1585 4.999095618724823 2 0.22727272727272727|| 24 0.5909090909090909
2767 3528 4.096545785665512 396 0.21739130434782608|| 1909 0.5652173913043478
1745 1745 4.999487400054932 0 0.25|| 1745 0.5833333333333334
1450 3034 4.999650776386261 1 0.24|| 1450 0.6
1568 1568 4.999964952468872 0 0.2692307692307692|| 1568 0.6153846153846154
2468 2245 4.995468020439148 16 0.25925925925925924|| 683 0.5925925925925926
1643 1214 4.414027512073517 224 0.25|| 3283 0.5714285714285714
818 1938 4.3369333148002625 316 0.2413793103448276|| 1660 0.5517241379310345
1314 769 4.999948024749756 1 0.23333333333333334|| 1314 0.5666666666666667
3258 3258 4.99877667427063 0 0.25806451612903225|| 3258 0.5806451612903226
2890 1444 4.666986048221588 179 0.25|| 1444 0.5625
1495 552 4.982955873012543 23 0.24242424242424243|| 2015 0.5454545454545454
518 2160 4.995572805404663 1 0.23529411764705882|| 518 0.5588235294117647
1679 1679 4.9988627433776855 0 0.2571428571428571|| 1679 0.5714285714285714
2089 1417 4.999906778335571 2 0.25|| 1454 0.5555555555555556
2697 2233 4.993844211101532 10 0.24324324324324326|| 2233 0.5405405405405406
2795 2795 4.9999648332595825 0 0.2631578947368421|| 2795 0.5526315789473685
1951 618 4.98764181137085 30 0.2564102564102564|| 2556 0.5384615384615384
1334 335 4.999966263771057 1 0.25|| 1334 0.55
2480 2480 4.999769032001495 0 0.2682926829268293|| 2480 0.5609756097560976
805 683 4.989561975002289 6 0.2619047619047619|| 805 0.5714285714285714
1172 1434 4.999645471572876 1 0.2558139534883721|| 1172 0.5813953488372093
2297 490 4.998242557048798 2 0.25|| 2297 0.5909090909090909
1062 2636 4.777406334877014 61 0.24444444444444444|| 731 0.5777777777777777
854 3196 4.972394585609436 43 0.2391304347826087|| 2273 0.5652173913043478
955 2749 4.943424046039581 36 0.23404255319148937|| 1672 0.5531914893617021
2863 1149 4.999865651130676 1 0.22916666666666666|| 2863 0.5625
256 3692 4.973838150501251 50 0.22448979591836735|| 3471 0.5510204081632653
20 3384 4.9537718296051025 60 0.22|| 1439 0.54
2019-05-05 12:28:44.417576 use: 810.7804729938507
Testing...
1364 2235 4.970230937004089 54 0.0|| 2235 0.0
1543 1307 4.987155437469482 11 0.0|| 683 0.0
1424 1424 4.999488532543182 0 0.3333333333333333|| 1424 0.3333333333333333
465 1346 3.5462357215583324 740 0.25|| 1819 0.25
2454 2454 4.999876976013184 0 0.4|| 2454 0.4
118 118 4.999889254570007 0 0.5|| 118 0.5
1646 1104 4.913661181926727 61 0.42857142857142855|| 1104 0.42857142857142855
2974 1020 4.972360134124756 41 0.375|| 1020 0.375
1972 443 4.995710253715515 2 0.3333333333333333|| 1972 0.4444444444444444
1921 1396 4.979893505573273 24 0.3|| 2492 0.4
